,iam,rimes,washington,saint_gall,bentham,rodrigo,icfhr_2016
iam,0.758,3.5159999999999996,1.672,3.4579999999999997,0.826,3.6519999999999997,4.1739999999999995
rimes,4.458,0.48,5.2459999999999996,4.236,4.432,4.15,5.42
washington,2.9480000000000004,5.036,2.048,5.095999999999999,2.6700000000000004,5.082,5.354
saint_gall,4.2379999999999995,4.136,5.232,1.486,4.1899999999999995,3.6980000000000004,5.484
bentham,1.4760000000000002,3.97,2.1,3.8959999999999995,0.752,4.206,4.688
rodrigo,4.194,4.01,4.854000000000001,3.9939999999999998,4.220000000000001,0.368,5.0120000000000005
icfhr_2016,4.7459999999999996,5.568,5.448,5.639999999999999,4.924,5.39,1.202
