,IAM,Rimes,G.W.,S.G.,Bentham,Rodrigo,ICFHR2016
IAM,0.9729724534355169,0.978232399296446,0.9765259964165425,0.9535782882694219,0.9796631312858365,0.948019569077126,0.9872637521826502
Rimes,0.9419759474037873,0.9460783106598691,0.9441476993008813,0.925550613721381,0.9462788266170679,0.9205449733141693,0.9573838150705206
G.W.,0.9673386332297589,0.9723935533062925,0.9706452983193721,0.9484679295301105,0.9736043719563596,0.9430141691952709,0.9818289988106385
S.G.,0.9281520404772461,0.9317749019093214,0.9297523594356353,0.9129517226019431,0.9314657927078618,0.908180106453238,0.9440219725564224
Bentham,0.9861613345658022,0.9918926839199644,0.9902692493659239,0.9655528679731985,0.9938203561052521,0.9597808850140022,1.0
Rodrigo,0.9520978677084491,0.9565773470536032,0.9547146531386439,0.9346977196152081,0.9571761764489432,0.9295227419245398,0.9671429858377107
ICFHR2016,0.9611534457245039,0.9659912522822415,0.9642016445809987,0.942841813833323,0.9669722480277335,0.9374878063137742,0.9758526167483473
