,iam,rimes,washington,saint_gall,bentham,rodrigo,icfhr_2016
iam,0.23412789339471232,0.23539360244890106,0.23498298803721468,0.22946104489509253,0.2357378817401653,0.2281234415437647,0.23756683111358223
rimes,0.22666915534495488,0.22765631347434992,0.22719174742332995,0.2227167014396174,0.22770456394483876,0.22151218630715522,0.23037677480096228
washington,0.23277221836827017,0.23398859174515105,0.23356790639505795,0.2282313312255004,0.23427995294332504,0.2269189842892978,0.23625905785277096
saint_gall,0.22334268685577255,0.22421446170629145,0.22372777412639805,0.2196850104328598,0.22414008027245833,0.2185368089261883,0.22716149359885673
bentham,0.23730155462670693,0.23868069824568716,0.23829004863288505,0.23234250686293445,0.23914455703871196,0.2309535855155981,0.2406315744788236
rodrigo,0.2291048089646148,0.2301827131322846,0.22973449016275582,0.22491778393277354,0.23032681039252947,0.22367252090317521,0.23272513942827894
icfhr_2016,0.2312838669604339,0.23244799596944626,0.2320173598505968,0.2268775101471824,0.23268405452024105,0.22558916688798192,0.23482095162743485
